Data_Type,EMIS_Code,School_Name,District,Tehsil,Level,School_Status,Building_Illegal_Occupation,Teachers_Sanctioned,Teachers_Filled,Teachers_Present_Today,Teachers_Absent_Today,Total_Enrolled,Total_Present,Toilets_Total,Toilets_Functional,Boundary_Wall,Electricity,Drinking_Water,Cleanliness_Building,Notes,Monitoring_Date,Source_URL,Ghost_Risk_Score_Tier1,Tier,Confidence_Level,Priority,Infrastructure_Screening_Score,Qwen_Fraud_Flag,Qwen_Fraud_Reason
Real (PMIU Visit),35210798,GGES SHALIMAR TOWN (EX-MCL),LAHORE,SHALIMAR,Middle,Open,No,17.0,16.0,4.0,12.0,559.0,66.0,10,10,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,12 PST teachers of primary section were on examinations duty; 493 students were on examinations off.,25-03-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4259043/list/,27.66,1,High,Medium,,False,No fraud indicators -- routine note
Real (PMIU Visit),35210011,GHS KARIM BLOCK ALLAMA IQBAL TOWN,LAHORE,MODEL TOWN,High,Open,No,58.0,37.0,32.0,5.0,1301.0,952.0,46,46,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Official PMIU visit record; AEO visit date 30-10-2025.,17-11-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4128057,14.27,1,High,Low,,False,No fraud indicators -- routine note
Real (PMIU Visit),35210049,GHS GULBERG LAHORE CANTT (FATEH ABAD),LAHORE,CANTT,High,Open,No,37.0,25.0,20.0,5.0,874.0,616.0,14,8,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,06 of 14 toilets nonfunctional due to outer-side blockage; school ground reported muddy.,16-12-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4161960,20.52,1,High,Medium,,False,No fraud indicators -- routine note
Real (PMIU Visit),35220493,GMMS SODIWAL PIND BAND ROAD LAHORE,LAHORE,CITY,Mosque School,Open,No,3.0,3.0,2.0,1.0,70.0,63.0,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Masjid maktab school; MEA remarked school may be merged with nearby school or a new school established in this area,23-04-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4007670,13.0,1,High,Low,,False,No fraud indicators -- routine note
Real (PMIU Visit),35210020,GHS MUSLIM LAHORE CANTT,LAHORE,CANTT,High,Open,No,40.0,21.0,20.0,1.0,605.0,224.0,13,13,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Enrollment/present figures in official form only itemised for class 10 (224) despite total enrollment 605 - likely incomplete class-wise reporting on the source form rather than true absenteeism,26-03-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3979264,31.27,1,High,Medium,,False,No fraud indicators -- routine note
Real (PMIU Visit),36430098,GGES 50/15-L MIAN CHANNU,KHANEWAL,MIAN CHANNU,Middle,Open,No,13.0,8.0,8.0,0.0,480.0,444.0,14,14,Yes-Partially,Yes-Wholly,Yes-Wholly,Good,,15-12-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4158683,7.82,1,High,Low,,False,
Real (PMIU Visit),37330556,GGPS MC MOHRI KAMBAL,RAWALPINDI,RAWALPINDI,Primary,Open,No,4.0,3.0,3.0,0.0,73.0,59.0,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,MEA noted headmistress name inconsistent between PMIU and SIS; NSB record not updated; class 3 roster not updated after promotions,04-11-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4114495,11.77,1,High,Low,,False,No fraud indicators -- administrative data note
Real (PMIU Visit),35220032,GHSS MOZANG LAHORE,LAHORE,CITY,H.Sec.,Open,No,43.0,22.0,15.0,7.0,402.0,149.0,15,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Teacher on unauthorized long-term absence since June 2024 with no action taken; security guard falsely marked present; choukidar residing in school with family; 4 of 15 toilets nonfunctional; grades 11-12 had zero students present at visit,27-01-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3900174,45.32,1,High,High,,True,"A - Falsified records / attendance: matched ""falsely marked present"""
Real (PMIU Visit),35220064,GGHS PAK STANDARD SHAD BAGH LAHORE,LAHORE,CITY,High,Open,No,57.0,46.0,40.0,6.0,2094.0,349.0,20,20,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,"Most grades (ECE,prep,1,2,6,7,8,9,10) were on exam duty/off during visit, explaining low headcount; leave-record discrepancy noted for one transferred PST teacher",21-03-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3971996,35.96,1,High,Medium,,False,No fraud indicators -- routine note
Real (PMIU Visit),37330117,GHS KHAYABAN-E-SIR SYED SECTOR 4-B,RAWALPINDI,RAWALPINDI,High,Open,No,30.0,24.0,20.0,4.0,899.0,519.0,14,14,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Two PST teachers shown present on attendance register but not reflected in SIS system (one reportedly on dengue duty elsewhere) - register/SIS mismatch flag; NSB record not updated on SIS,27-10-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4108928,18.67,1,High,Low,,False,No fraud indicators -- administrative data note
Synthetic,99990001,GPS CHAK FAKE-1 (Synthetic Test Case),MULTAN,MULTAN CITY,Primary,Open,Yes,6.0,1.0,0.0,1.0,180.0,8.0,3,0,No,No,No,Poor,SYNTHETIC TEST CASE (not a real school): building reportedly used as private residence; no functional facilities; near-zero attendance despite high paper enrollment,01-01-2026,"Synthetic - for model validation, not a real PMIU record",100.0,1,High,High,,True,"C - Illegal occupation / misuse of school property: matched ""used as private residence"""
Synthetic,99990002,GGPS FAKE VILLAGE-2 (Synthetic Test Case),BAHAWALPUR,BAHAWALPUR SADAR,Primary,Closed,Yes,4.0,0.0,0.0,0.0,95.0,0.0,2,0,No,No,No,Poor,SYNTHETIC TEST CASE (not a real school): school found locked on visit day; no staff present; community reports non-functional for over a year despite active enrollment records,01-01-2026,"Synthetic - for model validation, not a real PMIU record",100.0,1,High,High,,True,"E - Ghost-school indicators (abandoned / non-functional): matched ""no staff present"""
Synthetic,99990003,GHS FAKE TOWN-3 (Synthetic Test Case),SAHIWAL,SAHIWAL,High,Open,No,20.0,18.0,3.0,15.0,850.0,40.0,10,2,Yes-Wholly,No,No,Poor,SYNTHETIC TEST CASE (not a real school): high sanctioned/filled teacher count on paper but only 3 physically present; mass unexplained absences; suspected ghost-teacher salary fraud,01-01-2026,"Synthetic - for model validation, not a real PMIU record",69.27000000000001,1,High,High,,True,"D - Ghost-teacher / salary fraud: matched ""ghost-teacher"""
Synthetic,99990004,GGES FAKE COLONY-4 (Synthetic Test Case),SIALKOT,SIALKOT,Middle,Open,Yes,8.0,6.0,6.0,0.0,220.0,210.0,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,"SYNTHETIC EDGE-CASE TEST (not a real school): every attendance/facility metric looks clean, EXCEPT two classrooms are confirmed rented to a private tuition academy. Included to test whether the model catches illegal-occupation fraud that a pure attendance-based score would miss.",01-01-2026,"Synthetic - for model validation, not a real PMIU record",30.79,1,High,High,,True,"C - Illegal occupation / misuse of school property: matched ""rented to a private"""
Synthetic,99990005,GPS FAKE HAMLET-5 (Synthetic Test Case),RAJANPUR,RAJANPUR,Primary,Open,No,3.0,3.0,3.0,0.0,210.0,205.0,1,1,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,"SYNTHETIC EDGE-CASE TEST (not a real school): enrollment (210) and attendance (205) are implausibly high for a 3-teacher, 1-toilet primary school. Included to test whether the model flags statistically implausible enrollment-to-capacity ratios, since every individual metric looks clean in isolation.",01-01-2026,"Synthetic - for model validation, not a real PMIU record",3.89,1,High,Low,,False,No fraud indicators -- routine note
Synthetic,99990006,GHSS FAKE JUNCTION-6 (Synthetic Test Case),VEHARI,VEHARI,H.Sec.,Open,No,25.0,10.0,2.0,8.0,600.0,55.0,8,1,No,Yes-Partially,No,Poor,"SYNTHETIC TEST CASE (not a real school): combination of low fill rate, near-total teacher absenteeism, collapsed facilities and single-digit attendance - textbook high-confidence ghost-school profile for model calibration",01-01-2026,"Synthetic - for model validation, not a real PMIU record",76.55,1,High,High,,True,"E - Ghost-school indicators (abandoned / non-functional): matched ""ghost-school"""
Synthetic,99990007,GES FAKE OUTPOST-7 (Synthetic Test Case),D.G.KHAN,D.G.KHAN,Middle,Open,No,10.0,9.0,8.0,1.0,300.0,270.0,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,SYNTHETIC TRUE-NEGATIVE CONTROL (not a real school): fully clean monitoring record on every metric - included so the model learns to correctly clear well-functioning schools rather than over-flagging,01-01-2026,"Synthetic - for model validation, not a real PMIU record",6.68,1,High,Low,,False,No fraud indicators -- routine note
Real (Census),31321032,GGHS Chak No 225/1-L,RAHIMYAR KHAN,LIAQATPUR,High,Non-Functional,No,,,,,,,0,0,No,No,No,,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,82.5,False,
Real (Census),31321033,GGHS Chak No 179/7-R,RAHIMYAR KHAN,LIAQATPUR,High,Non-Functional,No,,,,,,,0,0,No,No,Yes-Wholly,Building Is Dangerous,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,67.5,False,
Real (Census),31321034,GGHS Chak No 148/5-R,RAHIMYAR KHAN,LIAQATPUR,High,Non-Functional,No,,,,,94.0,,0,0,No,No,No,,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,82.5,False,
Real (Census),32110565,GGPS SUMRA GABOOL,D.G. KHAN,D.G.KHAN,Primary,Non-Functional,No,,,,,,,2,2,Yes-Wholly,No,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,40.0,False,
Real (Census),32320949,GPS CHAK NO. 131 ML,MUZAFFARGARH,KOT ADU,Primary,Non-Functional,No,,,,,,,2,2,Yes-Wholly,No,Yes-Wholly,Satisfying,non_func_reason (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,40.0,False,
Real (Census),35110333,GGPS ALI PUR CHAK NO 6,KASUR,CHUNIAN,Primary,Non-Functional,No,,,,,,,0,0,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,42.5,False,
Real (Census),39311057,GPS TAHLI JAMAL HITHAR,OKARA,DEPALPUR,Primary,Non-Functional,No,,,,,,,2,2,Yes-Wholly,No,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,40.0,False,
Real (Census),32330691,GPS BASTI KANHAL,MUZAFFARGARH,MUZAFFARGARH,Primary,Non-Functional,No,,,,,,,0,0,No,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,57.5,False,
Real (Census),37130118,GPS SAHWAL (PSSP-II),ATTOCK,PINDI GHEB,Primary,Non-Functional,No,,,,,,,0,0,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,42.5,False,
Real (Census),34320074,GGHS LANGAY,SIALKOT,PASRUR,High,Functional,Yes,,15.0,,,289.0,,10,10,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,non_func_reason (source field): Building Illegally Occupied; dangerous_classrooms (source field): 3,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,35.0,False,
Real (Census),36130239,GPS RANA WAHIN,MULTAN,MULTAN SADAR,Primary,Functional,Yes,,4.0,,,221.0,,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,non_func_reason (source field): Building Illegally Occupied,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,35.0,False,
Real (Census),33110354,GGHS DECCAN SAMANABAD FSD,FAISALABAD,FAISALABAD CITY,High,Functional,Yes,,32.0,,,1356.0,,14,14,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,non_func_reason (source field): Building Illegally Occupied,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,35.0,False,
Real (Census),37330149,GGHS JHANDA CHICHI,RAWALPINDI,RAWALPINDI,High,Functional,Yes,,31.0,,,709.0,,13,13,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,non_func_reason (source field): Building Illegally Occupied,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,35.0,False,
Real (Census),35210693,GGES KACHA,LAHORE,MODEL TOWN,Middle,Functional,Yes,,10.0,,,544.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,non_func_reason (source field): Building Illegally Occupied,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,35.0,False,
Real (Census),39220030,GGHS MC MODEL ARIFWALA,PAKPATTAN,ARIFWALA,High,Functional,Yes,,66.0,,,3021.0,,28,28,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,non_func_reason (source field): Building Illegally Occupied,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,35.0,False,
Real (Census),31321031,GGHS 158/7-R,RAHIMYAR KHAN,LIAQATPUR,High,Functional,No,,4.0,,,36.0,,0,0,No,No,No,Building Is Dangerous,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,52.5,False,
Real (Census),33140395,GGPS CHAK 269 RB II SALONI,FAISALABAD,FAISALABAD SADDAR,Primary,Functional,No,,4.0,,,180.0,,3,1,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,31.67,False,
Real (Census),32110836,GGCMS FEROZ WALA,D.G. KHAN,D.G.KHAN,Primary,Functional,No,,4.0,,,199.0,,5,1,Yes-Wholly,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,30.0,False,
