Data_Type,EMIS_Code,School_Name,District,Tehsil,Level,School_Status,Building_Illegal_Occupation,Teachers_Sanctioned,Teachers_Filled,Teachers_Present_Today,Teachers_Absent_Today,Total_Enrolled,Total_Present,Toilets_Total,Toilets_Functional,Boundary_Wall,Electricity,Drinking_Water,Cleanliness_Building,Notes,Monitoring_Date,Source_URL,Ghost_Risk_Score_Tier1,Tier,Confidence_Level,Priority,Infrastructure_Screening_Score,Data_Risk_Reason,Qwen_Fraud_Flag,Qwen_Fraud_Reason,Latitude,Longitude,Percent_Built_Earliest,Percent_Built_Recent,Satellite_BuiltUp_Percent,Satellite_Density_Flag,Satellite_Risk_Reason,Final_GhostSchool_Reason,Satellite_Confidence
Real (PMIU Visit),36420071,GHS 58/10-R KHANEWAL,KHANEWAL,KHANEWAL,High,Open,No,25.0,13.0,11.0,2.0,643.0,342.0,12,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,1 toilet nonfunctional,03-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3851119,27.69,1,High,Medium,,Low attendance (53%) and last monitoring visit over a year ago,False,No fraud indicators -- routine note,30.3022528,71.9278916,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows low attendance (53%) and last monitoring visit over a year ago. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.
Monitoring Notes: No fraud indicators detected in the inspection notes.",Village-Level
Real (PMIU Visit),39330014,GHS MODEL RENALA KHURD,OKARA,RENALA KHURD,High,Open,No,63.0,46.0,42.0,4.0,1054.0,900.0,23,23,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,23-05-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4040341,15.02,1,High,Low,,Last monitoring visit 339 days ago,False,,30.8782508,73.5998771,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows last monitoring visit 339 days ago. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (PMIU Visit),31260240,GPS HAJI KHAMEESA,BAHAWALPUR,BAHAWALPUR SADAR,Primary,Open,No,4.0,2.0,2.0,0.0,101.0,93.0,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,06-02-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3913623,14.88,1,High,Low,,Last monitoring visit over a year ago,False,,29.37512035,71.75389995,,,,NoData,,"The data analysis shows last monitoring visit over a year ago. No usable satellite reading is available — the school could only be geocoded to its tehsil centre, and imagery there would not represent its actual location.",Tehsil-Level
Real (PMIU Visit),34140170,GPS GHARRI,GUJRANWALA,NOSHERA VIRKAN,Primary,Open,No,13.0,9.0,8.0,1.0,324.0,272.0,6,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,17-12-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4162634,12.44,1,High,Low,,Attendance at only 84%,False,,31.96734,73.96987,100.0,100.0,100.0,High_Density, 100% built-up area detected — clearly in a developed location,"Although satellite imagery shows 100% built-up around the school's exact location, suggesting a clearly developed location, the data analysis shows attendance at only 84%. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",School-Level
Real (PMIU Visit),34220737,GPS BUGHNA,GUJRAT,KHARIAN,Primary,Open,No,4.0,2.0,2.0,0.0,84.0,78.0,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,09-12-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4153720,8.45,1,High,Low,,Only 2 of 4 sanctioned teacher posts filled,False,,32.8100237,73.8663245,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows only 2 of 4 sanctioned teacher posts filled. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (PMIU Visit),39310993,GHS NO.1 BASIR PUR MAIN ROAD,OKARA,DEPALPUR,High,Open,No,38.0,35.0,33.0,2.0,1414.0,1201.0,14,12,No,Yes-Wholly,Yes-Wholly,Good,Boundary wall not available; 2 toilets nonfunctional,14-10-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3800928,27.06,1,High,Medium,,Last monitoring visit over a year ago and no boundary wall,False,No fraud indicators -- routine note,30.6691771,73.6513733,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows last monitoring visit over a year ago and no boundary wall. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.
Monitoring Notes: No fraud indicators detected in the inspection notes.",Village-Level
Real (PMIU Visit),32330082,GGHS BHUTTA PUR,MUZAFFARGARH,MUZAFFARGARH,High,Open,No,18.0,18.0,17.0,1.0,570.0,405.0,11,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,05-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3856564,18.68,1,High,Low,,Last monitoring visit over a year ago and low attendance (71%),False,,30.084183,71.1939667,100.0,90.62,90.62,High_Density,"Village-area shows 90.6% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 90.6% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows last monitoring visit over a year ago and low attendance (71%). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (PMIU Visit),37340007,GHS USMAN KHATTAR,RAWALPINDI,TAXILA,High,Open,No,18.0,14.0,13.0,1.0,330.0,310.0,11,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,10-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3861357,12.93,1,High,Low,,Last monitoring visit over a year ago,False,,33.7422793,72.8145203,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows last monitoring visit over a year ago. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (PMIU Visit),37330123,GHS MC AMAR PURA RAWALPINDI,RAWALPINDI,RAWALPINDI,High,Open,No,16.0,14.0,14.0,0.0,457.0,402.0,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,3 classrooms used as DO(MC) office; shares building/washrooms with another school (GGES Husainabad); washrooms lacking for children,13-10-2015,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/655192,14.24,1,High,Low,,Last monitoring visit 10 years ago,False,No fraud indicators -- routine note,33.6040754,73.0483807,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows last monitoring visit 10 years ago. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.
Monitoring Notes: No fraud indicators detected in the inspection notes.",Village-Level
Real (PMIU Visit),33221148,GMPS CHAK NO 166 JB DOKA,JHANG,JHANG,Primary,Open,No,4.0,2.0,2.0,0.0,101.0,56.0,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,20-01-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4168660,18.52,1,High,Low,,Low attendance (55%),False,,31.2777606,72.3213727,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows low attendance (55%). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (PMIU Visit),33310079,GGHS CHAK 159 GB,T.T.SINGH,GOJRA,High,Open,No,14.0,13.0,12.0,1.0,450.0,389.0,10,10,Yes-Partially,Yes-Wholly,Yes-Wholly,Good,,21-02-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3665301,14.42,1,High,Low,,Last monitoring visit 2 years ago,False,,30.910778,72.580153,,,,NoData,,"The data analysis shows last monitoring visit 2 years ago. No usable satellite reading is available — the school could only be geocoded to its tehsil centre, and imagery there would not represent its actual location.",Tehsil-Level
Real (PMIU Visit),39310174,GGES AMLI MOTI,OKARA,DEPALPUR,Middle,Open,No,14.0,12.0,12.0,0.0,285.0,174.0,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,08-04-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3982965,22.4,1,High,Medium,,Low attendance (61%) and last monitoring visit over a year ago,False,,30.6691771,73.6513733,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows low attendance (61%) and last monitoring visit over a year ago. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.",Village-Level
Real (PMIU Visit),34220780,GGHS NAWAZ SHARIF LALA MUSA,GUJRAT,KHARIAN,High,Open,No,8.0,6.0,6.0,0.0,368.0,294.0,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,04-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3854424,17.28,1,High,Low,,Last monitoring visit over a year ago and attendance at only 80%,False,,32.8100237,73.8663245,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows last monitoring visit over a year ago and attendance at only 80%. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (PMIU Visit),33110019,GPS CHAK 214 RB E,FAISALABAD,FAISALABAD CITY,Primary,Open,No,9.0,8.0,5.0,3.0,290.0,269.0,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,12-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4196641,4.76,1,High,Low,,All monitored indicators within normal range,False,,31.386296,73.0676444,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The data analysis shows all monitored indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (PMIU Visit),33110371,GGHS MC PEOPLES COLONY FAISALABAD,FAISALABAD,FAISALABAD CITY,High,Open,No,37.0,28.0,26.0,2.0,763.0,633.0,11,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,05-03-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4237333,7.78,1,High,Low,,Attendance at only 83%,False,,31.386296,73.0676444,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows attendance at only 83%. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (PMIU Visit),33150025,GPS 141 RB II,FAISALABAD,CHAK JHUMARA,Primary,Open,No,8.0,8.0,3.0,1.0,214.0,191.0,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,27-04-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4300887/list/,3.22,1,High,Low,,All monitored indicators within normal range,False,,31.378718050000003,73.0821538,,,,NoData,,The data analysis shows all monitored indicators within normal range. No usable satellite reading is available — the school could only be geocoded to its tehsil centre — so this assessment rests on the data indicators alone.,Tehsil-Level
Real (PMIU Visit),33140544,GHSS 209/RB,FAISALABAD,FAISALABAD SADDAR,H.Sec.,Open,No,49.0,27.0,27.0,0.0,684.0,635.0,14,14,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,09-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4189848,6.5,1,High,Low,,Only 27 of 49 sanctioned teacher posts filled,False,,31.3711401,73.0706582,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows only 27 of 49 sanctioned teacher posts filled. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (PMIU Visit),33120254,GPS 434 GB,FAISALABAD,JARANWALA,Primary,Open,No,7.0,4.0,4.0,0.0,221.0,207.0,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,27-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4228899,5.66,1,High,Low,,Only 4 of 7 sanctioned teacher posts filled,False,,31.3330181,73.4183387,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows only 4 of 7 sanctioned teacher posts filled. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (PMIU Visit),33160266,GGPS 595 GB,FAISALABAD,TANDLIAN WALA,Primary,Open,No,5.0,2.0,2.0,0.0,106.0,105.0,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,11-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4194793,5.34,1,High,Low,,Only 2 of 5 sanctioned teacher posts filled,False,,31.378718050000003,73.0821538,,,,NoData,,"The data analysis shows only 2 of 5 sanctioned teacher posts filled. No usable satellite reading is available — the school could only be geocoded to its tehsil centre, and imagery there would not represent its actual location.",Tehsil-Level
Real (PMIU Visit),33130129,GPS 209 GB,FAISALABAD,SAMUNDARI,Primary,Open,No,8.0,3.0,3.0,0.0,153.0,150.0,7,7,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,11-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4194836,5.77,1,High,Low,,Only 3 of 8 sanctioned teacher posts filled,False,,31.4103462,73.0936494,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows only 3 of 8 sanctioned teacher posts filled. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (PMIU Visit),35210591,GGPS SOHARWARDIA,LAHORE,SHALIMAR,Primary,Open,No,4.0,2.0,2.0,0.0,158.0,140.0,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Average,AEO last visited 29-10-2025; building on rent; maintenance/paint required; two classes conducted in open area.,17-11-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4129169,10.33,1,High,Low,,Attendance at only 89%,False,No fraud indicators -- routine note,31.5870311,74.3821182,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows attendance at only 89%. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.
Monitoring Notes: No fraud indicators detected in the inspection notes.",Village-Level
Real (PMIU Visit),35220159,GES MAZAR BABA REHMAT SHAH (EX-MCL),LAHORE,RAIWIND,Middle,Open,No,18.0,13.0,11.0,2.0,667.0,578.0,10,10,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Furniture required/repairs noted; some whitewash and window repair work required.,18-09-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4067971,11.45,1,High,Low,,Last monitoring visit 221 days ago,False,No fraud indicators -- routine note,31.2443583,74.2138126,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows last monitoring visit 221 days ago. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.
Monitoring Notes: No fraud indicators detected in the inspection notes.",Village-Level
